arm,uid,question_id,question_key,group,turn,event_index,source_id,source,accepted_len,accepted_spec_len,valid_k,completion_offset,fully_observed
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,0,0,Miss (fresh JIT),1,0,8,1,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,1,0,Miss (fresh JIT),1,0,8,2,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,2,2,P2,1,0,12,3,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,3,1,P1,3,2,12,4,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,4,2,P2,1,0,12,7,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,5,1,P1,2,1,12,8,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,6,1,P1,5,4,12,10,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,7,0,Miss (fresh JIT),3,2,8,15,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,8,0,Miss (fresh JIT),2,1,8,18,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,9,1,P1,9,8,12,20,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,10,1,P1,5,4,12,29,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,11,2,P2,2,1,2,34,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,12,1,P1,1,0,12,36,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,13,2,P2,5,4,12,37,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,14,2,P2,4,3,12,42,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,15,1,P1,9,8,12,46,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,16,0,Miss (fresh JIT),4,3,8,55,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,17,1,P1,4,3,12,59,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,18,1,P1,8,7,12,63,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,19,1,P1,2,1,12,71,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,20,1,P1,9,8,12,73,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,21,1,P1,1,0,12,82,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,22,2,P2,2,1,12,83,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,23,1,P1,3,2,12,85,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,24,1,P1,1,0,12,88,1
audit_tree,82_t0,82,mt_bench:82,mt_bench,0,25,1,P1,1,0,12,89,1
